env_name,algorithm,alpha,gamma,epsilon,minimum_reward,maximum_reward
CliffWalking-v0,Q-learning,0.1,0.1,0.1,-1868,-13
CliffWalking-v0,DoubleQ-learning,0.1,0.1,0.1,-896811,-124
Taxi-v3,Q-learning,0.1,0.1,0.1,-587,-5
Taxi-v3,DoubleQ-learning,0.1,0.1,0.1,-632,-6
CliffWalking-v0,Q-learning,0.1,0.5,0.1,-1510,-13
CliffWalking-v0,DoubleQ-learning,0.1,0.5,0.1,-11021493,-90
Taxi-v3,Q-learning,0.1,0.5,0.1,-605,15
Taxi-v3,DoubleQ-learning,0.1,0.5,0.1,-641,9
CliffWalking-v0,Q-learning,0.1,0.9,0.1,-2694,-13
CliffWalking-v0,DoubleQ-learning,0.1,0.9,0.1,-10770,-20
Taxi-v3,Q-learning,0.1,0.9,0.1,-605,15
Taxi-v3,DoubleQ-learning,0.1,0.9,0.1,-632,14
CliffWalking-v0,Q-learning,0.2,0.1,0.1,-3063,-13
CliffWalking-v0,DoubleQ-learning,0.2,0.1,0.1,-43610237,-89
Taxi-v3,Q-learning,0.2,0.1,0.1,-596,8
Taxi-v3,DoubleQ-learning,0.2,0.1,0.1,-659,4
CliffWalking-v0,Q-learning,0.2,0.5,0.1,-2475,-13
CliffWalking-v0,DoubleQ-learning,0.2,0.5,0.1,-208547,-47
Taxi-v3,Q-learning,0.2,0.5,0.1,-641,15
Taxi-v3,DoubleQ-learning,0.2,0.5,0.1,-614,10
CliffWalking-v0,Q-learning,0.2,0.9,0.1,-2641,-13
CliffWalking-v0,DoubleQ-learning,0.2,0.9,0.1,-137597,-17
Taxi-v3,Q-learning,0.2,0.9,0.1,-641,14
Taxi-v3,DoubleQ-learning,0.2,0.9,0.1,-632,15
CliffWalking-v0,Q-learning,0.3,0.1,0.1,-2454,-13
CliffWalking-v0,DoubleQ-learning,0.3,0.1,0.1,-430252,-64
Taxi-v3,Q-learning,0.3,0.1,0.1,-623,14
Taxi-v3,DoubleQ-learning,0.3,0.1,0.1,-623,-3
CliffWalking-v0,Q-learning,0.3,0.5,0.1,-2223,-13
CliffWalking-v0,DoubleQ-learning,0.3,0.5,0.1,-110651,-17
Taxi-v3,Q-learning,0.3,0.5,0.1,-641,15
Taxi-v3,DoubleQ-learning,0.3,0.5,0.1,-605,4
CliffWalking-v0,Q-learning,0.3,0.9,0.1,-2410,-13
CliffWalking-v0,DoubleQ-learning,0.3,0.9,0.1,-2024,-17
Taxi-v3,Q-learning,0.3,0.9,0.1,-596,15
Taxi-v3,DoubleQ-learning,0.3,0.9,0.1,-614,14
CliffWalking-v0,Q-learning,0.4,0.1,0.1,-2643,-13
CliffWalking-v0,DoubleQ-learning,0.4,0.1,0.1,-99801,-59
Taxi-v3,Q-learning,0.4,0.1,0.1,-578,14
Taxi-v3,DoubleQ-learning,0.4,0.1,0.1,-623,-9
CliffWalking-v0,Q-learning,0.4,0.5,0.1,-2502,-13
CliffWalking-v0,DoubleQ-learning,0.4,0.5,0.1,-630140,-17
Taxi-v3,Q-learning,0.4,0.5,0.1,-614,15
Taxi-v3,DoubleQ-learning,0.4,0.5,0.1,-623,15
CliffWalking-v0,Q-learning,0.4,0.9,0.1,-2038,-13
CliffWalking-v0,DoubleQ-learning,0.4,0.9,0.1,-1057608,-17
Taxi-v3,Q-learning,0.4,0.9,0.1,-605,15
Taxi-v3,DoubleQ-learning,0.4,0.9,0.1,-632,15
CliffWalking-v0,Q-learning,0.5,0.1,0.1,-2652,-13
CliffWalking-v0,DoubleQ-learning,0.5,0.1,0.1,-2729132,-269
Taxi-v3,Q-learning,0.5,0.1,0.1,-632,14
Taxi-v3,DoubleQ-learning,0.5,0.1,0.1,-632,-3
CliffWalking-v0,Q-learning,0.5,0.5,0.1,-1208,-13
CliffWalking-v0,DoubleQ-learning,0.5,0.5,0.1,-5293660,-17
Taxi-v3,Q-learning,0.5,0.5,0.1,-623,15
Taxi-v3,DoubleQ-learning,0.5,0.5,0.1,-650,-55
CliffWalking-v0,Q-learning,0.5,0.9,0.1,-1739,-13
CliffWalking-v0,DoubleQ-learning,0.5,0.9,0.1,-1002542,-17
Taxi-v3,Q-learning,0.5,0.9,0.1,-605,15
Taxi-v3,DoubleQ-learning,0.5,0.9,0.1,-614,15
CliffWalking-v0,Q-learning,0.6,0.1,0.1,-2355,-13
CliffWalking-v0,DoubleQ-learning,0.6,0.1,0.1,-547590,-20
Taxi-v3,Q-learning,0.6,0.1,0.1,-632,14
Taxi-v3,DoubleQ-learning,0.6,0.1,0.1,-596,-13
CliffWalking-v0,Q-learning,0.6,0.5,0.1,-1996,-13
CliffWalking-v0,DoubleQ-learning,0.6,0.5,0.1,-2823936,-76
Taxi-v3,Q-learning,0.6,0.5,0.1,-641,15
Taxi-v3,DoubleQ-learning,0.6,0.5,0.1,-614,-7
CliffWalking-v0,Q-learning,0.6,0.9,0.1,-2002,-13
CliffWalking-v0,DoubleQ-learning,0.6,0.9,0.1,-228184,-17
Taxi-v3,Q-learning,0.6,0.9,0.1,-605,15
Taxi-v3,DoubleQ-learning,0.6,0.9,0.1,-614,14
CliffWalking-v0,Q-learning,0.7,0.1,0.1,-1706,-13
CliffWalking-v0,DoubleQ-learning,0.7,0.1,0.1,-541943,-17
Taxi-v3,Q-learning,0.7,0.1,0.1,-659,15
Taxi-v3,DoubleQ-learning,0.7,0.1,0.1,-632,12
CliffWalking-v0,Q-learning,0.7,0.5,0.1,-1526,-13
CliffWalking-v0,DoubleQ-learning,0.7,0.5,0.1,-681522,-17
Taxi-v3,Q-learning,0.7,0.5,0.1,-632,15
Taxi-v3,DoubleQ-learning,0.7,0.5,0.1,-623,-12
CliffWalking-v0,Q-learning,0.7,0.9,0.1,-1770,-13
CliffWalking-v0,DoubleQ-learning,0.7,0.9,0.1,-764214,-17
Taxi-v3,Q-learning,0.7,0.9,0.1,-614,15
Taxi-v3,DoubleQ-learning,0.7,0.9,0.1,-623,12
CliffWalking-v0,Q-learning,0.8,0.1,0.1,-1996,-13
CliffWalking-v0,DoubleQ-learning,0.8,0.1,0.1,-816631,-17
Taxi-v3,Q-learning,0.8,0.1,0.1,-605,14
Taxi-v3,DoubleQ-learning,0.8,0.1,0.1,-632,-1
CliffWalking-v0,Q-learning,0.8,0.5,0.1,-1903,-13
CliffWalking-v0,DoubleQ-learning,0.8,0.5,0.1,-3347018,-17
Taxi-v3,Q-learning,0.8,0.5,0.1,-623,15
Taxi-v3,DoubleQ-learning,0.8,0.5,0.1,-605,1
CliffWalking-v0,Q-learning,0.8,0.9,0.1,-1665,-13
CliffWalking-v0,DoubleQ-learning,0.8,0.9,0.1,-8112628,-17
Taxi-v3,Q-learning,0.8,0.9,0.1,-605,15
Taxi-v3,DoubleQ-learning,0.8,0.9,0.1,-614,14
CliffWalking-v0,Q-learning,0.9,0.1,0.1,-2192,-13
CliffWalking-v0,DoubleQ-learning,0.9,0.1,0.1,-5185289,-17
Taxi-v3,Q-learning,0.9,0.1,0.1,-605,15
Taxi-v3,DoubleQ-learning,0.9,0.1,0.1,-614,8
CliffWalking-v0,Q-learning,0.9,0.5,0.1,-1709,-13
CliffWalking-v0,DoubleQ-learning,0.9,0.5,0.1,-250108,-17
Taxi-v3,Q-learning,0.9,0.5,0.1,-596,15
Taxi-v3,DoubleQ-learning,0.9,0.5,0.1,-641,13
CliffWalking-v0,Q-learning,0.9,0.9,0.1,-1605,-13
CliffWalking-v0,DoubleQ-learning,0.9,0.9,0.1,-354902,-17
Taxi-v3,Q-learning,0.9,0.9,0.1,-587,14
Taxi-v3,DoubleQ-learning,0.9,0.9,0.1,-641,14
